"PK","CATEGORY","NAME","PRICE"
201,STARTERS                      ,Chicken Wings                 ,65.0000
201,STARTERS                      ,Gizzard                       ,45.0000
201,STARTERS                      ,Kelewele                      ,25.0000
201,STARTERS                      ,Rock City Platter             ,100.0000
202,SALADS                        ,Chicken Caesar Salad          ,70.0000
202,SALADS                        ,Garden Salad                  ,45.0000
203,SANDWICHES                    ,Beef Wrap                     ,70.0000
203,SANDWICHES                    ,Chicken Wrap                  ,70.0000
203,SANDWICHES                    ,Club Sandwich Chicken         ,70.0000
203,SANDWICHES                    ,Club Sandwich Tuna            ,70.0000
203,SANDWICHES                    ,Fish & Chips                  ,60.0000
203,SANDWICHES                    ,Fish Pie                      ,25.0000
203,SANDWICHES                    ,Fries                         ,35.0000
203,SANDWICHES                    ,Meat Pie                      ,25.0000
203,SANDWICHES                    ,Meatballs                     ,35.0000
203,SANDWICHES                    ,Mini Burger                   ,35.0000
203,SANDWICHES                    ,Pancake                       ,35.0000
203,SANDWICHES                    ,Pulled Pork Wrap              ,70.0000
203,SANDWICHES                    ,Rock City Burger              ,70.0000
203,SANDWICHES                    ,Sweet Potatoes & Meat Balls   ,40.0000
203,SANDWICHES                    ,Tuna Wrap                     ,70.0000
204,PIZZA                         ,All Season Calzone            ,110.0000
204,PIZZA                         ,All Season Pizza              ,110.0000
204,PIZZA                         ,Bacon & Mushroom              ,110.0000
204,PIZZA                         ,Bacon & Mushroom Calzone      ,110.0000
204,PIZZA                         ,Chicken Calzone               ,105.0000
204,PIZZA                         ,Chicken Pizza                 ,105.0000
204,PIZZA                         ,Hawaiian                      ,110.0000
204,PIZZA                         ,Hawaiian Calzone              ,110.0000
204,PIZZA                         ,Margarita Calzone             ,80.0000
204,PIZZA                         ,Margarita Pizza               ,80.0000
204,PIZZA                         ,Meat Lovers                   ,110.0000
204,PIZZA                         ,Meat Lovers Calzone           ,110.0000
204,PIZZA                         ,Pulled Pork Caramelized Onion ,95.0000
204,PIZZA                         ,"Pulled Pork, Caramelized Onion",95.0000
204,PIZZA                         ,Rocky Sausage Calzone         ,110.0000
204,PIZZA                         ,RockySausage                  ,110.0000
204,PIZZA                         ,Sardine & Tuna                ,115.0000
204,PIZZA                         ,Sardine & Tuna Calzone        ,115.0000
204,PIZZA                         ,Vegetarian Pizza              ,95.0000
205,BURGER                        ,Beef Burger                   ,70.0000
205,BURGER                        ,Cheese Burger Beef            ,75.0000
205,BURGER                        ,Cheese Burger Chicken         ,75.0000
205,BURGER                        ,Chicken Burger                ,70.0000
206,LOCAL DISH                    ,"1/2 Grilled Chicken           ",95.0000
206,LOCAL DISH                    ,Beef Khebab                   ,30.0000
206,LOCAL DISH                    ,Beef Stew                     ,75.0000
206,LOCAL DISH                    ,Chicken Khebab                ,40.0000
206,LOCAL DISH                    ,Fried Goat                    ,75.0000
206,LOCAL DISH                    ,Fried Pork                    ,75.0000
206,LOCAL DISH                    ,Gizzard Khebab                ,30.0000
206,LOCAL DISH                    ,Goat Khebab                   ,30.0000
206,LOCAL DISH                    ,Goat Light Soup               ,75.0000
206,LOCAL DISH                    ,Grill Beef Easter             ,185.0000
206,LOCAL DISH                    ,Grill Chicken Easter          ,85.0000
206,LOCAL DISH                    ,Grill Fish Easter             ,170.0000
206,LOCAL DISH                    ,Grill Goat Easter             ,50.0000
206,LOCAL DISH                    ,Grill Pork Easter             ,235.0000
206,LOCAL DISH                    ,Grilled Chicken Pieces        ,30.0000
206,LOCAL DISH                    ,Grilled Tilapia               ,105.0000
206,LOCAL DISH                    ,Kids New Year Brunch          ,85.0000
206,LOCAL DISH                    ,Kids Xmas Day Brunch          ,150.0000
206,LOCAL DISH                    ,Meal Platter for 4            ,240.0000
206,LOCAL DISH                    ,Meal Platter for 6            ,350.0000
206,LOCAL DISH                    ,Pork Khebab                   ,30.0000
206,LOCAL DISH                    ,Samosa                        ,25.0000
206,LOCAL DISH                    ,Spring Rolls                  ,25.0000
206,LOCAL DISH                    ,Sunday Brunch Food            ,150.0000
206,LOCAL DISH                    ,Tilapia Soup                  ,85.0000
207,DESSERT                       ,Birthday Cake Chocolate 30cm  ,600.0000
207,DESSERT                       ,Birthday Cake Vanilla 30cm    ,350.0000
207,DESSERT                       ,Chocolate Cake                ,250.0000
207,DESSERT                       ,Red Velvet Cake               ,45.0000
207,DESSERT                       ,Rock City Fruit Salad         ,50.0000
207,DESSERT                       ,Vanilla Cake                  ,150.0000
207,DESSERT                       ,Vanilla or Chocolate Cupcake  ,20.0000
301,HOT BEVERAGES                 ,Americano                     ,30.0000
301,HOT BEVERAGES                 ,Café Latte                    ,30.0000
301,HOT BEVERAGES                 ,Cappuccino                    ,30.0000
301,HOT BEVERAGES                 ,Double Espresso               ,50.0000
301,HOT BEVERAGES                 ,Espresso                      ,30.0000
301,HOT BEVERAGES                 ,Ginger & Lemon Tea            ,30.0000
301,HOT BEVERAGES                 ,Hot Chocolate                 ,30.0000
301,HOT BEVERAGES                 ,Mint Tea                      ,20.0000
301,HOT BEVERAGES                 ,Tea                           ,20.0000
302,SOFT DRINKS                   ,Alvaro Pet                    ,20.0000
302,SOFT DRINKS                   ,Bel-Aqua Water                ,15.0000
302,SOFT DRINKS                   ,Ceres                         ,65.0000
302,SOFT DRINKS                   ,Coke Canned                   ,20.0000
302,SOFT DRINKS                   ,Coke Zero                     ,20.0000
302,SOFT DRINKS                   ,Don Simon                     ,65.0000
302,SOFT DRINKS                   ,Fanta Canned                  ,20.0000
302,SOFT DRINKS                   ,Malt Canned                   ,20.0000
302,SOFT DRINKS                   ,Meridean Water                ,15.0000
302,SOFT DRINKS                   ,Pellegrino Sparkling Water -75,40.0000
302,SOFT DRINKS                   ,Red Bull                      ,35.0000
302,SOFT DRINKS                   ,Soda Water                    ,15.0000
302,SOFT DRINKS                   ,Sprite Canned                 ,20.0000
302,SOFT DRINKS                   ,Sprite Zero                   ,20.0000
302,SOFT DRINKS                   ,Tonic Water                   ,15.0000
302,SOFT DRINKS                   ,Voltic Water                  ,15.0000
303,JUICES                        ,Fresh Mango Juice             ,35.0000
303,JUICES                        ,Fresh Orange Juice            ,35.0000
303,JUICES                        ,Fresh Pineapple Juice         ,35.0000
303,JUICES                        ,Fresh Watermelon Juice        ,35.0000
304,SMOOTHIES                     ,Appletini Smoothie            ,65.0000
304,SMOOTHIES                     ,Mango Smoothie                ,65.0000
304,SMOOTHIES                     ,Passion Fruit Smoothie        ,65.0000
304,SMOOTHIES                     ,Peach & Mango Smoothie        ,60.0000
304,SMOOTHIES                     ,Peach Smoothie                ,60.0000
304,SMOOTHIES                     ,Raspberry Smoothie            ,60.0000
304,SMOOTHIES                     ,Strawberry Smoothie           ,60.0000
305,NA COCKTAILS                  ,Chapman                       ,40.0000
305,NA COCKTAILS                  ,Colada                        ,40.0000
305,NA COCKTAILS                  ,King-Fisher                   ,40.0000
305,NA COCKTAILS                  ,Virgin Mojito                 ,40.0000
401,BEERS                         ,Club Mini                     ,25.0000
401,BEERS                         ,Club Shandy                   ,25.0000
401,BEERS                         ,Eagle Beer                    ,20.0000
401,BEERS                         ,Guiness Stout                 ,25.0000
401,BEERS                         ,Heineken                      ,35.0000
401,BEERS                         ,Orijin Mini                   ,20.0000
401,BEERS                         ,Stella Artois                 ,30.0000
402,CIDERS                        ,Hunter's Gold                 ,35.0000
402,CIDERS                        ,Kiss Cider                    ,35.0000
402,CIDERS                        ,Savanna Dry                   ,35.0000
402,CIDERS                        ,Smirnoff Black                ,25.0000
